,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,HumanEval,0.9451219512195121,0.9695121951219512,1.0,0.9573170731707317,0.9390243902439024
1,gpt-4o,llama3-8b,internal state,2/3,HumanEval,0.9695121951219512,0.975609756097561,1.0,0.9573170731707317,1.0
2,gpt-4o,llama3-8b,internal state,3/4,HumanEval,0.9573170731707317,0.9695121951219512,1.0,0.9695121951219512,1.0
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.975609756097561,0.9939024390243902,0.9451219512195121,0.975609756097561,0.9390243902439024
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.9695121951219512,0.9695121951219512,0.9390243902439024,0.9573170731707317,0.926829268292683
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.9695121951219512,0.9695121951219512,0.9695121951219512,0.9573170731707317,0.926829268292683
6,gpt-4o,llama3.1-8b,internal state,1/2,HumanEval,0.9085365853658537,0.9878048780487805,0.823170731707317,0.9451219512195121,1.0
7,gpt-4o,llama3.1-8b,internal state,2/3,HumanEval,0.9390243902439024,0.9573170731707317,1.0,0.9695121951219512,1.0
8,gpt-4o,llama3.1-8b,internal state,3/4,HumanEval,0.926829268292683,0.9695121951219512,1.0,0.926829268292683,0.9390243902439024
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.975609756097561,0.9573170731707317,0.9573170731707317,0.8780487804878049,0.9085365853658537
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.926829268292683,0.9451219512195121,0.9085365853658537,0.8963414634146342,0.8048780487804879
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.926829268292683,0.9451219512195121,0.9085365853658537,0.9085365853658537,0.7987804878048781
12,gpt-4o,mistral-nemo-12b,internal state,1/2,HumanEval,0.926829268292683,0.9390243902439024,0.8902439024390244,0.9085365853658537,0.8109756097560976
13,gpt-4o,mistral-nemo-12b,internal state,2/3,HumanEval,0.7987804878048781,0.8536585365853658,1.0,0.8170731707317073,0.8658536585365854
14,gpt-4o,mistral-nemo-12b,internal state,3/4,HumanEval,0.8353658536585366,0.8292682926829268,1.0,0.8170731707317073,0.8841463414634146
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.926829268292683,0.9085365853658537,0.9085365853658537,0.8963414634146342,0.9146341463414634
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.8963414634146342,0.9085365853658537,0.9146341463414634,0.8536585365853658,0.8963414634146342
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.8841463414634146,0.9085365853658537,0.8841463414634146,0.8963414634146342,0.8963414634146342
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.926829268292683,0.9878048780487805,0.7926829268292683,0.9695121951219512,0.8536585365853658
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.8292682926829268,0.8841463414634146,1.0,0.8780487804878049,0.7865853658536586
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.8963414634146342,0.9695121951219512,0.8292682926829268,0.9146341463414634,1.0
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.975609756097561,0.9878048780487805,0.8292682926829268,0.975609756097561,0.7378048780487805
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,0.774390243902439,0.9390243902439024,0.8048780487804879,0.9085365853658537,0.8902439024390244
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,0.7682926829268293,0.9451219512195121,0.7560975609756098,0.9085365853658537,0.8963414634146342
24,gpt-4o,phi4-14b,internal state,1/2,HumanEval,0.975609756097561,0.926829268292683,1.0,0.9451219512195121,0.9878048780487805
25,gpt-4o,phi4-14b,internal state,2/3,HumanEval,0.9939024390243902,0.8048780487804879,1.0,0.9878048780487805,0.9695121951219512
26,gpt-4o,phi4-14b,internal state,3/4,HumanEval,0.9939024390243902,0.8170731707317073,1.0,0.9878048780487805,0.9817073170731707
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.9878048780487805,0.975609756097561,0.9390243902439024,0.926829268292683,1.0
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,0.9695121951219512,0.926829268292683,0.9573170731707317,0.9695121951219512,0.9512195121951219
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,0.9695121951219512,0.9390243902439024,0.8963414634146342,0.9573170731707317,0.9512195121951219
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,HumanEval,0.9695121951219512,0.9695121951219512,1.0,0.9695121951219512,0.975609756097561
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,HumanEval,0.975609756097561,0.975609756097561,1.0,0.9695121951219512,1.0
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,HumanEval,0.9695121951219512,0.9695121951219512,0.9512195121951219,0.9878048780487805,1.0
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.9695121951219512,0.9573170731707317,0.926829268292683,0.926829268292683,0.9451219512195121
