,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,TestEval_line,0.6203543925618962,0.6159126810381276,0.5686313647719552,0.6071666194486843,0.5986180149552479
1,gpt-4o,llama3-8b,internal state,2/3,TestEval_line,0.5970405044599747,0.6131654518762907,0.5963193568049905,0.609846241017867,0.5914322936788144
2,gpt-4o,llama3-8b,internal state,3/4,TestEval_line,0.6257554880195235,0.6217602012345551,0.5901960405559891,0.6279264429392123,0.6082225856577662
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.4760196941990683,0.44497707780669576,0.4912474995922223,0.4639104231591561,0.5241359105777067
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.5085850911307577,0.48166546475392447,0.5197070766906364,0.5094081867429174,0.529450081987637
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5081783724384389,0.48062237618153825,0.5081257887552645,0.5006610520170821,0.526512907684532
6,gpt-4o,llama3.1-8b,internal state,1/2,TestEval_line,0.5975416591547299,0.5749564306625284,0.5965844214936512,0.6000613834016032,0.5899127325486737
7,gpt-4o,llama3.1-8b,internal state,2/3,TestEval_line,0.59971583348359,0.5664185575330066,0.556333221727166,0.5860065160841864,0.5991288278775256
8,gpt-4o,llama3.1-8b,internal state,3/4,TestEval_line,0.6010443763360732,0.5687676530936564,0.5745303955151658,0.5920729561044465,0.5962367253028557
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,TestEval_line,0.4760196941990683,0.44497707780669576,0.4912474995922223,0.4639104231591561,0.5241359105777067
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.5085850911307577,0.48166546475392447,0.5197070766906364,0.5094081867429174,0.529450081987637
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5081783724384389,0.48062237618153825,0.5081257887552645,0.5006610520170821,0.526512907684532
12,gpt-4o,mistral-nemo-12b,internal state,1/2,TestEval_line,0.48540481812841474,0.4766992605403611,0.49796426868882965,0.4916699925721559,0.5263508719415715
13,gpt-4o,mistral-nemo-12b,internal state,2/3,TestEval_line,0.5565597942373329,0.5172004744958633,0.5531604416802663,0.556196716222677,0.5476713118480016
14,gpt-4o,mistral-nemo-12b,internal state,3/4,TestEval_line,0.5687755678983807,0.5286873205397005,0.5260044234543015,0.5509279276283137,0.5561468276405098
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,TestEval_line,0.48180452544873326,0.4624491413620817,0.4893875899380406,0.4787294486757483,0.46395272779682345
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,TestEval_line,0.5200053214487795,0.4751873593419244,0.5100400771610206,0.5105264908371467,0.48777591157527306
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,TestEval_line,0.5201563729892286,0.47627936497379303,0.4827995255041655,0.49036318887818625,0.4891644771122402
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,TestEval_line,0.5307641677972199,0.5338294357059329,0.5915523795451779,0.5663962281891793,0.5178798339758456
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,TestEval_line,0.5586497776941951,0.5125109138044464,0.602650207530187,0.581316910016521,0.6188899485540035
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,TestEval_line,0.5764825983585612,0.5468386906121097,0.6064717181350472,0.5937740943221324,0.5975539645653931
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,TestEval_line,0.5238921648958285,0.4932381425712204,0.541608123900219,0.5393380525743108,0.5182398216180601
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,TestEval_line,0.572520047819251,0.5182263892433492,0.5424369014197985,0.5500987279541127,0.544313404166719
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,TestEval_line,0.5729176461106527,0.517065832068445,0.5554354104262041,0.5632691713567994,0.5446438405845717
24,gpt-4o,phi4-14b,internal state,1/2,TestEval_line,0.5641884515944325,0.4550282485876328,0.5291640333238214,0.538073350569824,0.5222637173226723
25,gpt-4o,phi4-14b,internal state,2/3,TestEval_line,0.5662434166427931,0.48290912573021655,0.5111596284593221,0.5452743464522338,0.5539385234128775
26,gpt-4o,phi4-14b,internal state,3/4,TestEval_line,0.5613980656900023,0.5018232308724199,0.4923489418750036,0.5290069903285131,0.5236905103897993
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,TestEval_line,0.4781940055540235,0.4974681604903461,0.5215665996361847,0.5084554246864578,0.5258335727282089
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,TestEval_line,0.5257378148042381,0.4716441635545974,0.5778071435411931,0.5594733314182395,0.5530537201954097
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,TestEval_line,0.5259982763574321,0.47113281624060627,0.5833725940822255,0.5541089725175389,0.5390634875036558
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,TestEval_line,0.5977694330966685,0.5731131430830239,0.5887222756029601,0.6016286145002707,0.6000391069322403
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,TestEval_line,0.5758821661876503,0.5722185194451959,0.5929578086661897,0.5988680014885961,0.5754963531734522
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,TestEval_line,0.5824893454635008,0.5738469236931334,0.5656302628784895,0.5808693513085142,0.5836068365645712
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.4483315426843835,0.45746385236923703,0.5543607383220687,0.5153179330514644,0.5438039691433771
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.5665122713768899,0.5658909757600179,0.5599860392457082,0.5676160960769117,0.5642184185240803
35,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5666005773528904,0.5657122612847773,0.5592028493395015,0.5713449210397494,0.5628864700527202
36,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,TestEval_line,0.5583881215847226,0.5249075415406126,0.5831327175743716,0.5748771600798214,0.5681963924906374
37,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,TestEval_line,0.5743641444097167,0.5682962623444491,0.5333008143072598,0.5668833667284205,0.5641153948854101
38,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,TestEval_line,0.5526724121618446,0.5556453800205723,0.5318973800458008,0.5487385911832879,0.5438418145616649
39,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,TestEval_line,0.4483315426843835,0.45746385236923703,0.5543607383220687,0.5153179330514644,0.5438039691433771
40,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.5665122713768899,0.5658909757600179,0.5599860392457082,0.5676160960769117,0.5642184185240803
41,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5666005773528904,0.5657122612847773,0.5592028493395015,0.5713449210397494,0.5628864700527202
42,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,TestEval_line,0.44687148411257444,0.4992526420587146,0.49540658160636025,0.4769492686954145,0.5425157633168606
