,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,HumanEval,0.5145356315924889,0.43555441214304336,0.5047594545922324,0.4896449704142027,0.5200025726781596
1,gpt-4o,llama3-8b,internal state,2/3,HumanEval,0.5337664008232594,0.40757653717520004,0.4977489066117847,0.5089400565989212,0.5287496784152325
2,gpt-4o,llama3-8b,internal state,3/4,HumanEval,0.5497813223565754,0.3904039104708021,0.619114998713663,0.6090172369436618,0.5322227939284817
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.5356959094417306,0.44680987908412817,0.4888088500128652,0.5021224594803206,0.573128376640084
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.4815410342166202,0.46083097504502385,0.5450218677643439,0.5167867249807067,0.5769230769230793
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.4828273732956021,0.4584512477489079,0.5368536146128138,0.5070105479804493,0.576472858245436
6,gpt-4o,llama3.1-8b,internal state,1/2,HumanEval,0.526429497335444,0.4549906380527115,0.5658937058908226,0.5320466657064641,0.4962552210859832
7,gpt-4o,llama3.1-8b,internal state,2/3,HumanEval,0.5277977819386408,0.5761918479043617,0.5259974074607494,0.5216765087138096,0.4839406596572058
8,gpt-4o,llama3.1-8b,internal state,3/4,HumanEval,0.5329108454558528,0.4180469537663815,0.5359354745787098,0.5452254068846302,0.5207403139853064
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.5141149359066658,0.6237937490998093,0.5877142445628658,0.588434394354023,0.6317874117816473
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.5329108454558514,0.5095059772432633,0.5988765663257928,0.5693504248883734,0.6525997407460716
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.5331268903931978,0.5082097076191822,0.60024485092899,0.5728791588650407,0.6587210139709024
12,gpt-4o,mistral-nemo-12b,internal state,1/2,HumanEval,0.5530243000528228,0.5993132593766484,0.5382989963021633,0.5481378763866858,0.5830692023243502
13,gpt-4o,mistral-nemo-12b,internal state,2/3,HumanEval,0.6255942947702038,0.6407818277865793,0.5721077654516612,0.6286318013734785,0.5429873217115667
14,gpt-4o,mistral-nemo-12b,internal state,3/4,HumanEval,0.6380084521922845,0.6440834653988349,0.5431854199683019,0.6108689910195434,0.5687400950871608
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.5295826730058082,0.5708531431590039,0.5863048071843598,0.5841257263602724,0.543449550977282
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.5833333333333303,0.617274167987319,0.6518092974115132,0.6438193343898553,0.5945589012150001
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.5830031695721043,0.6170760697305843,0.6193872160591626,0.6189249867934469,0.5929080824088727
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.6137276631112385,0.615528466546617,0.6423327330655249,0.6225931569469492,0.6448261532068185
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.635822136029925,0.6676132428314213,0.5802742762155455,0.6361684443828826,0.6480814517246196
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.6629034492312,0.6724615597728254,0.6752320265964851,0.684582352126337,0.6703144479844894
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.5533314863554545,0.6059010943343988,0.6133813547582809,0.5901786951101298,0.6234242969940462
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,0.6062474026873554,0.5906635268042697,0.5770189776977439,0.5757030059565074,0.5849840698157668
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,0.6095027012051558,0.5896246017453965,0.55921872835573,0.5428729740961388,0.5865770882393723
24,gpt-4o,phi4-14b,internal state,1/2,HumanEval,0.3607043235704261,0.6420850767084991,0.44238145048813904,0.45092398884239304,0.43244421199441463
25,gpt-4o,phi4-14b,internal state,2/3,HumanEval,0.3666317991631727,0.5825488145048738,0.540097629009756,0.4440376569037605,0.5085425383542475
26,gpt-4o,phi4-14b,internal state,3/4,HumanEval,0.4005404463040386,0.5767956764295608,0.5344316596931594,0.4462168758716813,0.5045327754532728
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.47472105997209957,0.5006101813110125,0.4381973500697293,0.4341004184100366,0.4972977684797707
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,0.4128312412831184,0.6186366806136627,0.4453451882845134,0.39513598326359195,0.4927649930264924
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,0.4119595536959505,0.6155857740585708,0.4449965132496459,0.39600767085076144,0.49302649930264447
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,HumanEval,0.5037604654462838,0.46012487583368417,0.5301546757485409,0.5351213282247722,0.49425287356321485
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,HumanEval,0.4938981126720554,0.42067546473676415,0.5475379594153496,0.5333475237689759,0.5570455512984206
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,HumanEval,0.5480346246629711,0.42379736057896666,0.555129842486159,0.550872711792248,0.5669788562508818
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.49049240811692457,0.4152830991911406,0.5225627926777301,0.5062437916843995,0.5554136511990869
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.509649496239529,0.45317156236696027,0.6548176529019386,0.6157939548744091,0.5880516531857475
35,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.5099333049524565,0.4522491840499459,0.6411238825031875,0.594366397048384,0.5851426138782408
36,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,HumanEval,0.47546012269938576,0.4217061057551841,0.5880075956763078,0.547838153666374,0.57157464212679
37,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,HumanEval,0.605316973415134,0.6167104878761333,0.605755185509788,0.6169295939234596,0.5768331872626349
38,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,HumanEval,0.5799006719252116,0.6062664329535494,0.6232836692959389,0.6257668711656448,0.6206543967280171
39,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.4383581653520304,0.48575810692375065,0.5529506281040016,0.5273882559158632,0.5996932515337406
40,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.5560911481156875,0.5719398188723345,0.6183903009056384,0.615687992988608,0.6167835232252428
41,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.558720420683611,0.570698217937482,0.6205813613789076,0.6196319018404918,0.6160531697341529
42,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,HumanEval,0.5662795958377307,0.5966671693560541,0.4965314432212337,0.5343085507464931,0.5659779822047959
43,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,HumanEval,0.5692203287588584,0.5935002262102252,0.5415472779369629,0.56401749359071,0.5751771980093493
44,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,HumanEval,0.5674106469612418,0.5935002262102248,0.5551198914190931,0.5803046297692659,0.5786457547881158
45,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.4475192278691,0.43274015985522546,0.550821897149751,0.5113859146433419,0.5216407781631723
46,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.4485748755843764,0.520208113406726,0.5682400844518171,0.5164379429950239,0.565827175388327
47,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.4480470517267382,0.5205097270396621,0.5788719650128178,0.5211883577137687,0.5642437038154129
48,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.6150214592274706,0.625393419170245,0.5685264663805456,0.5946351931330497,0.5923462088698166
49,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.6530042918454955,0.6344062947067266,0.6417739628040091,0.6502145922746811,0.6718168812589452
50,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.6355507868383414,0.6712446351931362,0.6799713876967132,0.6639484978540773,0.6826895565093022
51,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.598140200286124,0.6353361945636652,0.6079399141630915,0.6163090128755377,0.6020743919885566
52,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,0.6068669527897019,0.6077968526466392,0.623748211731046,0.6371244635193161,0.5930615164520767
53,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,0.6080114449213189,0.6092989985693864,0.6141630901287575,0.6273247496423491,0.5935622317596597
54,gemini-2.5-flash-lite,phi4-14b,internal state,1/2,HumanEval,0.5720572057205757,0.48192676410498403,0.509822410812511,0.5194876630520222,0.5310388181675311
55,gemini-2.5-flash-lite,phi4-14b,internal state,2/3,HumanEval,0.5184661323275184,0.40562627691340614,0.5228665723715239,0.48019801980197985,0.693619361936196
56,gemini-2.5-flash-lite,phi4-14b,internal state,3/4,HumanEval,0.5356749960710362,0.4265283671224264,0.5550840798365562,0.5123369479805129,0.6251768033946269
57,gemini-2.5-flash-lite,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.45646707527895786,0.4653465346534653,0.4532453245324533,0.4395725286814398,0.43305044790193337
58,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,0.5190947666195194,0.462596259625961,0.5818796165330813,0.572842998585574,0.5753575357535758
59,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,0.5165802294515175,0.4633820524909624,0.5454974068835479,0.5565770862800574,0.5698569856985723
60,gpt-4o,llama3-8b,internal state,1/2,APPS,0.6591924078898441,0.6790100483810974,0.6511676590993702,0.6636350949013805,0.6859183103833307
61,gpt-4o,llama3-8b,internal state,2/3,APPS,0.6912681429103131,0.6874302195757386,0.6534006326758494,0.7030842947525155,0.6338155935988121
62,gpt-4o,llama3-8b,internal state,3/4,APPS,0.7031773353182027,0.6883838853740266,0.6178823967249748,0.6855228879791629,0.6379558987718675
63,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,APPS,0.6295589877186476,0.6345133978414615,0.6207666542612611,0.6408401563081532,0.6344436174171968
64,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,APPS,0.6139979531075581,0.58992370673614,0.6031819873464861,0.6192547450688536,0.6143701153703038
65,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,APPS,0.6140212132489797,0.5900167473018267,0.6316524004465982,0.6314430591738028,0.6235578712318602
66,gpt-4o,llama3.1-8b,internal state,1/2,APPS,0.7730504640103397,0.7737430167597751,0.7604921741539287,0.7837388614432776,0.6891130707788885
67,gpt-4o,llama3.1-8b,internal state,2/3,APPS,0.764508980100649,0.7855625836834553,0.7285424073133544,0.7697723809963504,0.6976314695969316
68,gpt-4o,llama3.1-8b,internal state,3/4,APPS,0.7526201579020247,0.7804838635209362,0.7298351724456317,0.7658710005078702,0.7023869984763819
69,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,APPS,0.6531464979915943,0.6666051064222702,0.6434738445911613,0.6693753174200073,0.6137633316404248
70,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,APPS,0.6296458746941209,0.6052911030056768,0.6031672745740781,0.6323237453252671,0.6295535343275294
71,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,APPS,0.6285147052033778,0.6053141880973245,0.5977884482201373,0.6151484371392938,0.6332933191744752
