,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,TestEval_line,0.594932864587377,0.5970759179608881,0.5639481975601345,0.5769803658966017,0.5741193842772814
1,gpt-4o,llama3-8b,internal state,2/3,TestEval_line,0.5859775414016218,0.5939423596981661,0.5748888230698738,0.5993992582481449,0.5977058490226062
2,gpt-4o,llama3-8b,internal state,3/4,TestEval_line,0.5857800843056123,0.5943555172088338,0.5540227590766058,0.5902314540569038,0.5917037971858258
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.4892342957220631,0.47273482370516856,0.5257359569371985,0.5402962714949374,0.5606762047029304
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.5304438062860203,0.5032204823104367,0.5379418102523329,0.538271263124475,0.530565070698243
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5300081129111348,0.5029339548939477,0.5279069118568869,0.5323293069256091,0.5317573252290249
6,gpt-4o,llama3.1-8b,internal state,1/2,TestEval_line,0.5780781844249464,0.594121573475521,0.6334069504897988,0.6382865016612352,0.6227174388956337
7,gpt-4o,llama3.1-8b,internal state,2/3,TestEval_line,0.5683029850362042,0.5984055339497611,0.5569856886531018,0.58676844292204,0.5905952472935686
8,gpt-4o,llama3.1-8b,internal state,3/4,TestEval_line,0.5733842858492124,0.6026401301500015,0.5455138606296474,0.5845695864561792,0.591870133326484
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,TestEval_line,0.4892342957220631,0.47273482370516856,0.5257359569371985,0.5402962714949374,0.5606762047029304
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.5304438062860203,0.5032204823104367,0.5379418102523329,0.538271263124475,0.530565070698243
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5300081129111348,0.5029339548939477,0.5279069118568869,0.5323293069256091,0.5317573252290249
12,gpt-4o,mistral-nemo-12b,internal state,1/2,TestEval_line,0.5125220341238036,0.47856592498975775,0.48488098801566815,0.5205222225917828,0.5236402589771899
13,gpt-4o,mistral-nemo-12b,internal state,2/3,TestEval_line,0.5905644061595969,0.5415876764115871,0.540691067726539,0.5548427955344353,0.5403279897118823
14,gpt-4o,mistral-nemo-12b,internal state,3/4,TestEval_line,0.594233988536731,0.5416625092848363,0.5233561712176308,0.5568397246150454,0.5581049544905462
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,TestEval_line,0.505214742630363,0.5015077438166025,0.5165630092792914,0.5174360594672052,0.5343649183490363
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,TestEval_line,0.5366209908981212,0.4756280418177307,0.48981857185620137,0.49176699814859387,0.4997048258888617
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,TestEval_line,0.5362856287624489,0.4746150264409624,0.5199374175452764,0.5119607875744304,0.5005266017006601
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,TestEval_line,0.5497575456364885,0.5181901218316335,0.5618493693500043,0.548944886966563,0.5207019759023158
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,TestEval_line,0.5458890217201459,0.5030263140220518,0.5885153196233538,0.5916987924295132,0.5967641409324734
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,TestEval_line,0.5917914758150062,0.5477131382056992,0.5730654022324587,0.5862130105981385,0.593318736819481
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,TestEval_line,0.5646433032895851,0.5413502223057965,0.5397101293537651,0.5409606834392223,0.5525152121643541
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,TestEval_line,0.5820718094751924,0.5005896812497402,0.5511612287936348,0.5483538624793441,0.5419640818300244
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,TestEval_line,0.5818877859416739,0.5021464934785774,0.5448695044796923,0.5511760044058123,0.5429822558330041
24,gpt-4o,phi4-14b,internal state,1/2,TestEval_line,0.5294876951068338,0.5235641099301612,0.552611318586678,0.5580810112037419,0.5912266590060973
25,gpt-4o,phi4-14b,internal state,2/3,TestEval_line,0.5255079957867151,0.5295872833477612,0.5652111462224154,0.5736263525807405,0.5303648376903837
26,gpt-4o,phi4-14b,internal state,3/4,TestEval_line,0.5107363784353807,0.5177630948961679,0.5500564971752064,0.5414880781385296,0.5522646749019126
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,TestEval_line,0.5416642727186322,0.4908838456382906,0.5875897730537867,0.5840237479652076,0.6143138944748308
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,TestEval_line,0.5358479364168005,0.45520061285077557,0.5817753519104364,0.5744019917648807,0.559984678732229
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,TestEval_line,0.5353308436273714,0.4561294647132691,0.562836349708,0.5661074403907564,0.5585463947142274
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,TestEval_line,0.5863390655125318,0.5734548031092208,0.5127013428816007,0.5536847771010073,0.5614031399082133
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,TestEval_line,0.5850218347038385,0.601558179971795,0.5393245433845232,0.5706647547722116,0.5554151537259953
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,TestEval_line,0.5812036525033791,0.6057127658903553,0.5548842666083655,0.5778711531709302,0.5395894613125307
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.47392871184709584,0.4664300627182758,0.5252576116597627,0.5289790777912662,0.5345844047441424
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.575372304302402,0.568184828612827,0.5841209034962948,0.580888274017658,0.5511333651515273
35,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5752598193091619,0.568978531135224,0.5849051446641214,0.5756708626022179,0.5537804419083429
36,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,TestEval_line,0.5583923266311995,0.5297412424650919,0.5693601391029461,0.5788898256798074,0.5800041629960205
37,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,TestEval_line,0.5287078522935463,0.5407206188146476,0.534556020680428,0.5452357874685506,0.5575019080398477
38,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,TestEval_line,0.5423532281090625,0.5539539000754888,0.5329686156356328,0.5433056711359392,0.5572937582392724
39,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,TestEval_line,0.47392871184709584,0.4664300627182758,0.5252576116597627,0.5289790777912662,0.5345844047441424
40,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.575372304302402,0.568184828612827,0.5841209034962948,0.580888274017658,0.5511333651515273
41,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.5752598193091619,0.568978531135224,0.5849051446641214,0.5756708626022179,0.5537804419083429
42,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,TestEval_line,0.47615469499971563,0.5100583047115895,0.5199021149959914,0.5066425821351752,0.5149444607825927
43,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,TestEval_line,0.5192262551971008,0.5499178445873159,0.5232220570420247,0.49934167748132097,0.5114909656026474
44,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,TestEval_line,0.5185261130102315,0.5386359773256408,0.5538812699149229,0.5145950641999327,0.505311097860721
45,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,TestEval_line,0.45381220001133216,0.44263960349558784,0.4868348986480114,0.4703903258966288,0.48831747333658854
46,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,TestEval_line,0.4947415139799083,0.49497489470886574,0.4973087019984399,0.5093284840505141,0.535794937931515
47,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,TestEval_line,0.49488720830781496,0.4921567886811683,0.5040160371682396,0.5116029343916833,0.5340884256648613
48,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,TestEval_line,0.5490240527570941,0.4697058910118691,0.4697706597580064,0.4870933553154587,0.5100244354815036
49,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,2/3,TestEval_line,0.5530397150175266,0.5116230458974934,0.5417169605793934,0.5172579268113234,0.48877587069803496
50,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,3/4,TestEval_line,0.5833824005652609,0.5660935613978363,0.5596284629199028,0.5737671857979887,0.5577207289428077
51,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,TestEval_line,0.5668928666058335,0.5047649188918724,0.5734418700503516,0.5581844142844605,0.5359702063767857
52,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,TestEval_line,0.547379809815416,0.4807342420584732,0.555443518709344,0.5534180233756368,0.5508964583272089
53,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,TestEval_line,0.5473032649336174,0.48208849765949924,0.5379721494391686,0.5333043836665051,0.5470854064238893
54,gemini-2.5-flash-lite,phi4-14b,internal state,1/2,TestEval_line,0.5099515221371217,0.4661214319615174,0.5578598549054431,0.5137060139670749,0.5200250864465656
55,gemini-2.5-flash-lite,phi4-14b,internal state,2/3,TestEval_line,0.4938504305376918,0.5053206997084799,0.5223862634755188,0.49811512644927886,0.4981642823242557
56,gemini-2.5-flash-lite,phi4-14b,internal state,3/4,TestEval_line,0.493306325852627,0.49756254661335747,0.538297511695736,0.5082853074785024,0.5015560376974981
57,gemini-2.5-flash-lite,phi4-14b,prompt embedding,nomic-embed-text,TestEval_line,0.45754288426336787,0.46706895382741054,0.4864092480846446,0.4940114584039901,0.5216624855922699
58,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-large,TestEval_line,0.493157163197534,0.4681402128958182,0.5056783510746767,0.5037070309851809,0.524228761271978
59,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-small,TestEval_line,0.49288256830974564,0.4679130788528326,0.510131195335303,0.5126652654417523,0.5369889484033069
60,gpt-4o,llama3-8b,internal state,1/2,TestEval_branch,0.5933799913714358,0.6078847290797588,0.5595329402553199,0.6012595273476594,0.5961543070801755
61,gpt-4o,llama3-8b,internal state,2/3,TestEval_branch,0.5980497898790172,0.6267476790821563,0.5854904686576007,0.6116017928191132,0.6158701244746743
62,gpt-4o,llama3-8b,internal state,3/4,TestEval_branch,0.6048128085901711,0.6332869948707878,0.5727074445136644,0.607453302014901,0.6092109678346922
63,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,TestEval_branch,0.5076498410111174,0.4747575220107499,0.5298823162839551,0.5248350190946223,0.5308530271798846
64,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_branch,0.5867288241215435,0.5867527922918153,0.5467599028489956,0.5507346244187494,0.5304695364555664
65,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_branch,0.5870763625904574,0.5872521291724381,0.566677452343265,0.5601121710368427,0.5294908361695473
66,gpt-4o,llama3.1-8b,internal state,1/2,TestEval_branch,0.5955708937763201,0.5464131960692566,0.5702316331305559,0.5747730463266245,0.5505872718764631
67,gpt-4o,llama3.1-8b,internal state,2/3,TestEval_branch,0.5859452503509592,0.5327819372952749,0.5893378568086094,0.5874216190921849,0.5596350023397291
