,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,HumanEval,0.5686261898636502,0.39432724466169383,0.5147928994082855,0.5500385901723704,0.5629019809621826
1,gpt-4o,llama3-8b,internal state,2/3,HumanEval,0.5410985335734521,0.4138152817082598,0.5976974530486256,0.6185361461281219,0.5811036789297678
2,gpt-4o,llama3-8b,internal state,3/4,HumanEval,0.5649601234885531,0.41722408026756025,0.6078595317725776,0.6333933624903549,0.6274762027270417
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.5065603293028059,0.44417288397221677,0.5076537175199416,0.5315153074350414,0.5576279907383604
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.5094545922305133,0.454527913558015,0.48482119886802394,0.5035374324672004,0.5362747620272718
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.5111268330331881,0.45497813223565825,0.5319655261126843,0.540905582711605,0.5398121944944706
6,gpt-4o,llama3.1-8b,internal state,1/2,HumanEval,0.5321186806855811,0.46103989629842745,0.5615728071438836,0.5259253924816337,0.4889817081953024
7,gpt-4o,llama3.1-8b,internal state,2/3,HumanEval,0.4827884199913571,0.5046089586633999,0.580440731672185,0.571366844303612,0.5525709347544263
8,gpt-4o,llama3.1-8b,internal state,3/4,HumanEval,0.4858850640933291,0.46334437563012915,0.5687022900763324,0.5730952038023884,0.5817370012962669
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.48588506409332866,0.5859138700849749,0.5667578856402103,0.5928273080800778,0.6578568342215142
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.5527869796917727,0.5747515483220483,0.6121993374621874,0.6262422583897421,0.666642661673626
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.5519227999423854,0.5743914734264691,0.5579000432089833,0.5764078928417086,0.6609534783234888
12,gpt-4o,mistral-nemo-12b,internal state,1/2,HumanEval,0.5726360274696229,0.6053222398309536,0.5321579503433681,0.5705890121500242,0.569070258848386
13,gpt-4o,mistral-nemo-12b,internal state,2/3,HumanEval,0.6043977812995218,0.6428288431061779,0.5490623349181175,0.590068674062332,0.5806259904912812
14,gpt-4o,mistral-nemo-12b,internal state,3/4,HumanEval,0.5983888008452166,0.6319334389857337,0.5213946117274143,0.591785525620705,0.5997094558901188
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.4910195456946628,0.5447702060221845,0.6067749603803457,0.5911912308504997,0.5357897517168494
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.5531563655573144,0.576597992604329,0.5924458531431562,0.606973058637081,0.6001716851558344
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.5529582673005792,0.5763998943475938,0.5974643423137853,0.5983227680929715,0.5995113576333836
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.6653968693724936,0.6489818534423087,0.6286189222884095,0.619684166782106,0.5691924089209063
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.6396315279124577,0.6612411691370038,0.5910098351572272,0.6336750242415885,0.6833356420556891
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.6493974234658575,0.6582629173015686,0.6640116359606635,0.6960797894445258,0.693101537609091
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.5657293253913311,0.5033245601883942,0.6278570439119003,0.6140739714641956,0.6188530267350077
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,0.5958581520986321,0.5802050145449539,0.5279124532483752,0.5817287712979669,0.5980745255575594
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,0.5981437872281514,0.5806898462390943,0.5076880454356567,0.5727247541210726,0.603823244216653
24,gpt-4o,phi4-14b,internal state,1/2,HumanEval,0.45127266387726106,0.47254184100417873,0.46173291492328483,0.4728905160390457,0.47637726638772043
25,gpt-4o,phi4-14b,internal state,2/3,HumanEval,0.5191771269177058,0.5097629009762839,0.4882322175732152,0.4654811715481122,0.5126394700139428
26,gpt-4o,phi4-14b,internal state,3/4,HumanEval,0.5213563458856287,0.5202231520223108,0.4866631799163113,0.5224023709902296,0.5187412831241224
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.4254707112970656,0.46983960948395537,0.4703626220362574,0.46940376569037195,0.47541841004183555
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,0.4342747559274706,0.5373082287308167,0.4013249651324906,0.43209553695954767,0.47132147838214283
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,0.43401324965131804,0.5353905160390459,0.37133891213388437,0.4069037656903697,0.47323919107391316
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,HumanEval,0.5197247055484558,0.5085852135660524,0.5711650347665631,0.5732936001135193,0.5644955300127666
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,HumanEval,0.4925500212856496,0.46246629771533504,0.518660422874978,0.524975166737615,0.5239818362423687
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,HumanEval,0.4827586206896519,0.4505463317723811,0.5549879381296955,0.5728678870441262,0.5390236980275243
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.533347523768975,0.4512558535547,0.5327089541648868,0.5252589754505412,0.5456222506030897
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.554065559812682,0.42003689513267595,0.5888321271462983,0.5784731091244452,0.5643536256563028
35,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.5522208031786533,0.4215978430537768,0.5945792535830813,0.5732936001135193,0.5603803036753173
36,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,HumanEval,0.46092608822670167,0.48802220274612884,0.5576248904469763,0.5249780893952678,0.46859479988314295
37,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,HumanEval,0.4950335962605898,0.5658778848962919,0.5649284253578739,0.5623721881390603,0.5513438504236051
38,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,HumanEval,0.49839322231960365,0.5641980718667845,0.5472538708735019,0.5612036225533165,0.5596698802220272
39,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.5008764241893078,0.5596698802220268,0.5709173239848088,0.5693105463044109,0.5517820625182587
40,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.5379783815366644,0.5626643295354953,0.5970639789658193,0.597210049664037,0.5918784691790834
41,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.5395851592170614,0.5633946830265847,0.5897604440549225,0.607581069237511,0.5910750803388845
